profile,action,shared_surface_type,n,mean,sd,min,max
Explorer,Explain/ExplainNewFact,acknowledgment,2,0.46607461333537414,0.04359009276569714,0.422484520569677,0.5096647061010713
Explorer,Explain/ExplainNewFact,statement,7,0.5480158550277121,0.1501567321224687,0.3944849819390229,0.7956859524000112
Explorer,OfferTransition/SummarizeAndSuggest,statement,1,0.3409902950746581,0.0,0.3409902950746581,0.3409902950746581
Focused,Explain/ExplainNewFact,acknowledgment,1,0.4421622950751648,0.0,0.4421622950751648,0.4421622950751648
Focused,Explain/ExplainNewFact,statement,8,0.5226895414469129,0.16431104147634293,0.3150527457508568,0.8062836242065571
Focused,OfferTransition/SummarizeAndSuggest,statement,1,0.3085425469200632,0.0,0.3085425469200632,0.3085425469200632
Impatient,Explain/ExplainNewFact,acknowledgment,2,0.6057524311713856,0.18537859434688986,0.4203738368244957,0.7911310255182754
Impatient,Explain/ExplainNewFact,statement,7,0.46823338100288514,0.14148665915124575,0.34613832794356064,0.8075630588676499
Impatient,OfferTransition/SummarizeAndSuggest,statement,1,0.30349327479822785,0.0,0.30349327479822785,0.30349327479822785
