source,profile,native_response_type,shared_surface_type,n,mean,sd,min,max
simulator,ALL,acknowledgment,acknowledgment,1,0.7911310255182754,0.0,0.7911310255182754,0.7911310255182754
simulator,ALL,acknowledgment,statement,8,0.6104970750879694,0.22784786696586454,0.30349327479822785,0.8075630588676499
simulator,ALL,question,acknowledgment,1,0.422484520569677,0.0,0.422484520569677,0.422484520569677
simulator,ALL,question,statement,2,0.512099649125116,0.06698987148710553,0.44510977763801046,0.5790895206122215
simulator,ALL,statement,acknowledgment,3,0.45740027933357724,0.03801194511585665,0.4203738368244957,0.5096647061010713
simulator,ALL,statement,statement,15,0.4226740801085631,0.04462281208853316,0.3150527457508568,0.5126859179349004
simulator,Explorer,acknowledgment,statement,3,0.6263792600175541,0.20296691963590313,0.3409902950746581,0.7956859524000112
simulator,Explorer,question,acknowledgment,1,0.422484520569677,0.0,0.422484520569677,0.422484520569677
simulator,Explorer,question,statement,2,0.512099649125116,0.06698987148710553,0.44510977763801046,0.5790895206122215
simulator,Explorer,statement,acknowledgment,1,0.5096647061010713,0.0,0.5096647061010713,0.5096647061010713
simulator,Explorer,statement,statement,3,0.42458806732191623,0.021765576576064625,0.3944849819390229,0.44520411119095965
simulator,Focused,acknowledgment,statement,3,0.6312608289950717,0.22846883468643991,0.3085425469200632,0.8062836242065571
simulator,Focused,statement,acknowledgment,1,0.4421622950751648,0.0,0.4421622950751648,0.4421622950751648
simulator,Focused,statement,statement,6,0.4327127319183586,0.05959827436965716,0.3150527457508568,0.5126859179349004
simulator,Impatient,acknowledgment,acknowledgment,1,0.7911310255182754,0.0,0.7911310255182754,0.7911310255182754
simulator,Impatient,acknowledgment,statement,2,0.5555281668329388,0.252034892034711,0.30349327479822785,0.8075630588676499
simulator,Impatient,statement,acknowledgment,1,0.4203738368244957,0.0,0.4203738368244957,0.4203738368244957
simulator,Impatient,statement,statement,6,0.41167843469209103,0.031074965892605888,0.34613832794356064,0.4398830646349777
