sample_id,FC,TFT,MDT,FRA,NSL,GTE,MSD,K,AR,SGV
sample_001,386,396522.0,79304.4,77.2,107.82767431731445,3.112283712361483,0.6262597652707099,1.2786067786700515,12.8,5.752891128142423
sample_002,464,217368.0,43473.6,92.8,107.16244460874664,2.9678562933838144,0.5175432198276746,-1.064677118543517,13.6,5.023349501259107
sample_003,767,439331.0,87866.2,153.4,242.10047178235135,3.2937904644827536,0.7067273006398268,-2.2801061190955694,38.2,5.5634580891387815
sample_004,864,360773.0,72154.6,172.8,156.23360644819005,2.757129035666686,0.40480760647520564,-0.2717138013469689,15.8,5.356780179319263
sample_005,499,262317.0,52463.4,99.8,156.27756548711088,3.185365519327404,0.7017013248742068,-2.518150517669673,29.0,5.409158858943083
sample_006,961,418405.0,83681.0,192.2,242.4422827773558,3.029546992808015,0.5647056509483271,-1.7279736324418717,33.0,5.2729535327740455
sample_007,421,369280.0,73856.0,84.2,92.06450323808119,2.8428868950878097,0.49014877989309297,1.6954326439831315,9.6,5.51060561314758
sample_008,291,276292.0,55258.4,58.2,68.43725447269767,3.1257934625545567,0.5276908730841501,1.768906039781503,9.6,5.913815339969386
sample_009,817,561901.0,112380.2,163.4,190.41187034686183,2.683622670276919,0.5217817228167396,0.23102076045800862,14.6,6.050233336378273
sample_010,833,493941.0,98788.2,166.6,229.19812158362615,3.0982921007820785,0.6159886780964541,-1.269016891685337,35.6,5.917850694536775
sample_011,866,604762.0,120952.4,173.2,170.42965768337524,2.985925734419894,0.4405691329040999,1.0903598552230562,31.6,6.205683973851674
sample_012,1924,1004259.0,200851.8,384.8,445.7948954403174,3.0617527320026463,0.5183711337633702,-0.7465662117873998,68.8,5.493005510225544
sample_013,696,413370.0,82674.0,139.2,165.8447361570145,3.0239384684531676,0.5335828831044628,-0.45667184185770293,22.8,6.073174848869866
sample_014,485,372558.0,74511.6,97.0,81.66978626294164,2.4308562241674174,0.37731238386738847,2.135204737210243,3.4,5.979219691499143
sample_015,956,613356.0,122671.2,191.2,198.1193170980229,3.0010394160362863,0.463882995483786,0.5161221146265254,27.0,5.919434261215584
sample_016,317,243059.0,48611.8,63.4,94.29970092650173,3.311578462823716,0.6672801947137904,-0.7113626844162815,15.0,5.843323233502016
sample_017,500,226482.0,45296.4,100.0,89.9925778608928,2.786370824629723,0.4032655742833645,-0.040750092561208096,13.2,4.884832634968131
sample_018,442,271677.0,54335.4,88.4,82.34942657309632,2.6228994715932394,0.41754856173598853,0.8053824355724635,4.2,5.697554568252168
sample_019,652,472249.0,94449.8,130.4,104.25846814763949,2.6574299503304104,0.35810909678666436,2.0557538816929353,7.6,5.825361222897786
sample_020,1029,660242.0,132048.4,205.8,260.5292192827099,3.0352802670512053,0.5666936229971676,-0.48980033581238647,32.4,6.171107228552635
