sample_id,MCFR-A,MCSL-A
sample_001,9.266666666666667,6.494224851573029
sample_002,15.5,7.695213046094172
sample_003,12.666666666666666,9.438387095715976
sample_004,7.684210526315789,3.1940900381927055
sample_005,13.25,7.823525329410227
sample_006,8.709677419354838,4.759222510963559
sample_007,5.777777777777778,2.7718539936282016
sample_008,10,5.949066991705801
sample_009,4.482758620689655,3.2166156579209493
sample_010,10.482758620689655,5.924362844316658
sample_011,24.133333333333333,10.816827194594227
sample_012,39,21.796213732562446
sample_013,18.692307692307693,11.818236887823856
sample_014,14.166666666666666,5.871819149383207
sample_015,16,8.061448719960731
sample_016,5.066666666666666,4.104806122587483
sample_017,6.777777777777778,2.4076514562960054
sample_018,5.9375,2.860647668658998
sample_019,2,1.0122748106085995
sample_020,6.625,4.062189566878041
